Signal1,Signal2,Signal3,Signal4,Signal5,Signal6,Signal7,Signal8,Signal9,Signal10,Signal11,Signal12,Signal13,Signal14,Signal15,Signal16,Signal17,Signal18,Signal19,Signal20,Signal21,Signal22,Signal23,Signal24,Signal25,Signal26,Signal27,Signal28,Signal29,Signal30,Signal31,Signal32,Signal33,Signal34,Signal35,Signal36,Signal37,Signal38,Signal39,Signal40,Signal41,Signal42,Signal43,Signal44,Signal45,Signal46,Signal47,Signal48,Signal49,Signal50,Signal51,Signal52,Signal53,Signal54,Signal55,Signal56,Signal57,Signal58,Signal59,Signal60,Signal61,Signal62,Signal63,Signal64,Signal65,Signal66,Signal67,Signal68,Signal69,Signal70,Signal71,Signal72,Signal73,Signal74,Signal75,Signal76,Signal77,Signal78
1.38E+06,-7579700,-8288800,2332800,1717900,-6808800,5662700,6082300,-19028000,-20354000,2400300,366360,-9225600,-148130,-9399800,-5813200,-2067100,20156000,15605000,2983500,6887300,-9874700,3332000,-468160,10717000,6356600,11129000,11690000,-10201000,-5407500,3649800,-7180300,4565800,14883000,-8503800,-4366800,12986000,13571000,8908700,-12431000,6251300,16777000,-11040000,1063800,9614200,22050000,-3016500,16324000,5640600,-9718400,67147,20524000,-8912900,6287000,2657700,-23531000,-10248000,-6090500,1180400,-3560500,-2559900,960010,1854400,-17796000,-3949500,-928940,11204000,-4054600,-7021400,8565300,-11637000,22365000,12329000,14452000,28802000,16255000,2574100,629400
5.95E+06,-7771600,5768000,3293100,4869700,-9427400,8562100,6750900,-18113000,-15165000,-437370,-4695200,-8296000,-4881100,-8127900,-3574600,-6523300,20940000,18176000,3462500,7855100,-9465800,-3460600,481020,9733700,8060600,7387100,14218000,-15254000,-7272200,3965300,-6567900,1059300,19865000,-6435800,-6109900,8803600,10428000,9606300,-7898100,2261000,17480000,-9230400,1332800,10503000,16558000,-1267300,16475000,3419600,-8969900,-4816200,18791000,-12844000,9220000,4858100,-19558000,-13768000,-3807900,1436000,960290,-6297900,468540,1304200,-12367000,-2018600,-162550,10185000,-4407000,-8464000,8008000,-8036500,14656000,15223000,12025000,24663000,17385000,114620,3757200
1.07E+07,-7060800,9104000,6537300,6356100,-9695800,10831000,6346000,-14534000,-9298600,-1328000,-9896900,-8368000,-10297000,-5265300,-4406700,-10801000,22256000,20067000,9183800,9076700,-7156000,-9060700,-1491200,7783800,13017000,6782100,16905000,-17127000,-8696400,3027200,-4502400,-2926000,20507000,-2099000,-4709800,4494100,6512700,8455300,-5279700,1466600,18172000,-7162600,3069100,12106000,9129800,-55144,15267000,3018600,-5399000,-7254400,16826000,-16293000,14327000,5822300,-17214000,-14166000,-5233500,-558850,3127300,-9178100,-437180,787510,-5018800,668040,147050,7213400,-7455800,-9155200,6444700,-4604700,6422100,16857000,8995600,17673000,16562000,-1077100,6959400
1.28E+07,-4607200,12485000,6804300,-1996700,-6842700,11998000,4204700,-10023000,-6317700,-750480,-8775400,-9816200,-14555000,-1232300,-6412700,-11321000,22478000,18767000,16193000,10650000,-2304100,-12335000,-4344300,7352800,19423000,8347900,19253000,-13421000,-9588800,3161800,-4897200,-4834500,17173000,-1318600,-2564100,1401400,4729400,5643200,-4547100,3451700,17250000,-5499000,6164300,12283000,3705300,-141360,13565000,3114900,-5454400,-7906000,16774000,-19022000,20488000,7210200,-16088000,-12036000,-8315100,-3505400,2648800,-8338700,-2284800,-591950,432850,3203000,54777,6648200,-10910000,-9271500,5942500,-1749100,3332400,19256000,8326700,11181000,14423000,419240,10087000
1.33E+07,-1433100,14341000,8219500,2575800,8747900,11270000,1478800,-5614300,-6875500,-370480,-1731200,-9153000,-17021000,2011000,-6439100,-8033300,18125000,13572000,19688000,12264000,2353600,-14651000,-4196000,10682000,24895000,9528200,20676000,-6515900,-9169100,4928700,-6605000,-4276000,13770000,-4349500,-2210500,-829050,4284800,1411100,-2416400,5034500,14354000,-4765400,9222000,9223100,2738400,-893040,11754000,2851800,-10366000,-7274300,18071000,-22305000,24403000,9381500,-13438000,-8755900,-8314700,-7479500,2928500,-4737800,-4238900,-3823100,818930,4574900,-37837,8884300,-12852000,-9184900,6889700,944580,3936900,23593000,10758000,6762700,12457000,3823600,13267000
1.44E+07,1586500,13606000,10399000,5704500,5284700,-731550,-384850,-921090,-8196400,423770,3374100,-5529500,-17526000,2412700,-3573600,-4513700,8664300,6844600,19368000,12807000,4669900,-16545000,-1398700,16115000,28565000,9033800,21306000,-843080,-7086600,6208100,-5398100,-2524400,13070000,-6720400,-2769800,-1841700,1996400,-2937200,1920800,5426900,11456000,-4598800,11426000,4953700,3270300,-1254000,8688600,2258400,-14297000,-5102000,18307000,-25934000,23638000,10938000,-9907200,-5389800,-3841100,-11987000,5279300,-2780900,-4123400,-7899800,-2311200,4386500,1352100,10745000,-14461000,-8824600,7728600,3018500,3567700,27126000,14054000,3511900,12140000,6662500,16933000
1.53E+07,3990800,11520000,11692000,7673700,1364400,326140,9044100,4321300,-8031100,3268200,1266900,-2410500,-16303000,516510,-118730,-3119400,-2082200,2345400,17414000,11271000,5812500,-16692000,771320,19158000,30628000,7847300,21735000,1032800,-4162600,5459600,-553580,-1012900,13626000,-6562500,-2682700,-926120,-3051000,-5058800,5271700,6334300,11070000,-3547200,14062000,2864300,1393100,-1012400,2916500,1037200,-12636000,-1848000,16955000,-28304000,19994000,10401000,-8551000,-2479600,1693100,-14324000,6981600,-5163000,-1100100,-9312600,-3898200,3642400,4636300,10617000,-17552000,-6867000,7469000,3818900,1241000,25631000,16449000,1211200,13798000,7595200,20643000
1.48E+07,4609900,10592000,10766000,8369500,-2925600,1752700,11808000,-6818700,-7092800,7037000,-4851600,-1026100,-14630000,-1603100,1247400,-2528000,-10424000,1942700,14002000,8213200,7456900,-14944000,1818500,17637000,30768000,7131500,22239000,-903750,-1067600,4350500,4199500,-1158800,12543000,-5961600,-3163100,591150,-7922800,-3561900,5961000,8242900,13285000,-1057200,18668000,2906400,-1945300,-185340,-4709000,-1680300,-7872100,918850,15018000,-28260000,17754000,7482800,-9733400,-341290,4734300,-11876000,6468500,-9642900,3165200,-6221700,-1047100,3902900,7689900,10084000,-21020000,-2702300,7062900,4256300,-906280,18915000,18696000,1762800,16128000,7806700,22951000
1.36E+07,2723700,11167000,8058400,6619100,-7005500,2111300,12419000,-7021300,5633500,8298800,-8982900,2074000,-13470000,-3543500,962630,-739980,-16233000,4018300,8131600,5695200,8347600,-13244000,4204900,14141000,28736000,6540000,22493000,-5408800,2416100,5308600,6364100,-3937700,9860400,-5595100,-5714800,478320,-9744500,103330,6754800,9557200,15473000,1278100,23870000,3013600,-2749800,1533300,-11401000,-5833700,-5038700,2224900,12063000,-25190000,18213000,3126400,-10695000,954090,5585600,-5770600,6346100,-11886000,6573100,-1765400,4139100,4988700,8510300,10569000,-21725000,1434100,7167500,6556100,-2028600,11350000,21938000,5778700,17352000,9089900,23651000
1.20E+07,-213480,10391000,5223400,2103600,-9828500,1416400,12158000,-7227200,1374500,-7154600,-9293700,8178000,-11656000,-6040700,2310100,2111700,-20410000,5331100,1273800,5422700,6255000,-12186000,8096700,12513000,25902000,5860600,21618000,-10622000,5776000,7458900,7597800,-8228000,8064500,-3455900,-8265500,-632040,-9408900,2588200,10017000,9146400,15273000,2017700,26043000,3810800,280580,3794600,-15743000,-9430800,-4856400,2845000,7272100,-18756000,18151000,-1369700,-9336300,1851200,6958500,-371640,8988500,-10613000,8442800,26098,7945000,4528200,8306000,11079000,-18300000,2765900,6106000,12072000,-2880500,6297100,25008000,10173000,17117000,11412000,24917000
8.73E+06,-2284300,5848700,3108300,-3192200,-10813000,1363900,12626000,-8025900,-1116900,-3489100,11275000,12576000,-7835400,-7814500,7130800,5004000,-21614000,4302900,-3260700,7338300,2174700,-9567200,9934800,13273000,24268000,6829300,18529000,-14585000,7119000,7430300,9670100,-10989000,8085500,395800,-7282200,328900,-9638000,1932900,13607000,7693900,12879000,2302500,23738000,7367500,5119500,5676300,-18683000,-9863200,-4388100,4304300,2801200,-10442000,14681000,-5651500,-5780600,2989200,10101000,1460200,12545000,-8498300,9002800,406100,9104900,777730,9859000,10085000,-12621000,1900300,2149600,19584000,-3802300,2894700,24964000,11848000,16671000,13023000,28018000
3.54E+06,-3851200,-697780,1113700,-6552200,-10177000,2410800,14465000,-8937600,-380250,587240,6805400,-3938600,-4015100,-6307100,12714000,7532700,-18247000,2127500,-4248000,10178000,-278270,-4168800,7440300,13756000,23816000,10903000,13163000,-16312000,5868100,4079700,10910000,-10474000,8315400,2663200,-2687300,4037500,-10706000,-403540,14678000,6495300,9892400,4078300,19735000,12445000,10282000,7659300,-20787000,-6242300,-1910900,7229200,2024700,-3793700,9295900,-10449000,-1175400,4104200,13439000,1194700,14016000,-7960000,8813800,3981000,8158300,-4808000,13465000,7867500,-7652700,1653700,-3097700,25803000,-5114500,-435920,20109000,12012000,16765000,12253000,29684000
-1.09E+06,-6459500,-4938400,-1152200,-7164500,-8555800,2207700,16957000,-7196500,2763600,2409200,3117300,-7403100,2110800,-1836600,14509000,8840400,-11995000,745190,-3412300,12768000,618780,1469300,3319700,11975000,22334000,15864000,7505900,-15863000,4650800,-42956,9281400,-7962500,7514700,1686900,2264900,7361400,-10480000,-1291800,14681000,6181600,7337100,6901700,17605000,15995000,15773000,11384000,-20876000,-139720,2049300,10574000,4246200,-809680,5367200,-15657000,2847100,3592600,14257000,1855600,13619000,-7864200,9308100,11175000,5164100,-8745300,16706000,6036900,-4791200,2301500,-6020700,28173000,-7471900,-2535300,12223000,13779000,16303000,8641800,25084000
-3.10E+06,-9855500,-5131400,-2679100,-6337200,-6845500,-1137100,18691000,-1685500,6217700,459210,-946160,-9781800,3406100,8409000,11777000,7460300,-6312600,471850,-2509600,14351000,3224100,4103600,2448500,8796600,18123000,17446000,4081400,-13227000,6276000,-2433200,6556200,-5153000,6217900,-692270,5111500,7848100,-8113600,268090,16962000,6560300,5883300,8727800,17550000,18577000,20504000,16144000,-18601000,5809400,6747400,11868000,5067000,758530,3633700,-19112000,4589200,69727,11101000,3747000,13419000,-5747500,11989000,17150000,762240,-8655800,18136000,5575200,-3331200,1337200,-5460200,27696000,-9756500,-1878700,5642000,16923000,14167000,3156700,14957000
-4.32E+06,-12231000,-3668100,-2352300,-5306000,-6003500,-5765400,18622000,3647900,8092300,-3225700,-8040600,-8670100,3372300,7270900,901940,3861300,-2051400,277060,-1508800,14302000,5499000,3751900,6903400,6246300,11753000,14721000,2857500,-8398700,9814800,-3424900,5987900,-1580900,4911900,-3359000,5565700,6889800,-5210000,1696200,21205000,6991900,6608900,9160700,16999000,22825000,22341000,18204000,-16159000,9682500,11229000,8795600,2714400,4205000,2582500,-19060000,4162000,-5540400,5184600,4582800,13825000,-1918600,15958000,18583000,-1989400,-4458100,19025000,6003200,-1952000,-1750900,-3715000,27852000,-9372400,186560,3566800,18566000,11782000,-1900600,6339700
-7.27E+06,-12634000,-3205900,-598270,-3799500,-6229400,-8476600,16539000,3906400,8447700,-5864700,-15759000,-7287400,3797500,6192200,-87324,7652100,2535800,428.01,245040,12402000,7099100,2593900,14778000,5031200,4881100,11411000,1079300,-2806500,12104000,-4130900,7087600,3634100,3226900,-7647800,3946500,6911000,-3347800,-169280,23918000,7196500,9711400,9521100,14275000,26896000,21423000,15702000,-15350000,10971000,13581000,1780500,188310,9036000,1845500,-17397000,3943600,-10409000,-274190,3322900,14047000,1030400,17811000,17012000,-198950,2609900,20878000,6061000,-360090,-4065500,-3226900,29693000,-6899000,1292300,5131000,18401000,12196000,-4087500,4534700
-1.06E+07,-11279000,-3349900,1196900,-1059200,-6665100,-9181800,12932000,-238510,9208700,-7570200,-19430000,-8693500,4646300,1822400,-1461300,10826000,3821600,979700,2520200,9360900,8213200,1484800,22526000,4444200,-1512600,10998000,-3041900,979030,12488000,-3788900,6471900,9064700,1642100,-12968000,1197300,7653800,-2711900,-4916400,23477000,7882600,13207000,9967100,10141000,25531000,20403000,11838000,-14303000,10330000,12996000,-5303500,-79023,11831000,2284400,-17941000,5567400,-12623000,-2834800,1949100,14028000,2176100,15377000,14515000,4634700,10695000,22963000,4895800,806680,-3854700,-4399800,29785000,-7065500,1218600,6765800,19387000,16295000,-3018300,7461600
-1.11E+07,-8499100,-2343500,2140500,2549300,-6632300,-10131000,8825300,-3819700,11133000,-9946700,-19246000,-10198000,5438300,-4518600,-5235500,10667000,6609400,3990300,4161100,6437700,8459800,-224800,27334000,3782400,-7297300,12651000,-8056100,1601700,13276000,-1084300,3784400,12189000,1683300,-14932000,-432260,6935300,-3306500,-8614100,21305000,9680100,14793000,8930900,6269200,18375000,20129000,10747000,-9541200,8864500,11683000,-8349900,80707,11131000,3287700,-21078000,7725200,-12668000,-2951400,2871100,13291000,2806400,10483000,10891000,7870100,17461000,23366000,2815300,1714300,-3320200,-6646700,25283000,-11893000,752280,6452400,22977000,21178000,-896100,10188000
-8.78E+06,-5148900,-164610,1769300,5740000,-6619700,-11543000,5331800,-4551500,11699000,-12719000,-18992000,-7571700,6053900,-8420900,-8973100,9219000,6794800,2001100,2917900,4362900,7694500,-2342200,28026000,2781900,-12356000,13259000,-11835000,-440840,15478000,3150300,2857900,12534000,3359500,-10836000,155440,3449500,-5183900,-8444700,18409000,11237000,14742000,5654300,3665000,11349000,17829000,12482000,-997610,7172600,12201000,-6907400,-1889500,8720800,2988500,-22756000,8565400,-11742000,-2485800,5879400,9740700,2974800,6890900,7105800,7439200,21231000,21535000,1033800,4014900,-5229700,-9242700,19199000,-16153000,-604840,5445100,26994000,22956000,-25645,11811000
-6.55E+06,-2719700,1941700,-468220,7819200,-7117600,-11270000,2681800,-4323400,7890400,-14253000,-19134000,-2268100,5301300,-9027600,-8711900,9141600,4573400,17405,1650600,5422800,6501800,-3433400,24824000,1082600,-16027000,11680000,-14647000,-4728400,16915000,6505300,5785100,11921000,4454700,-4052600,432400,-2550000,-7019800,-5894300,13998000,9828000,15192000,1339000,2469300,8195500,11471000,14822000,7044900,4925900,13780000,-3769400,-5448300,6277200,1404600,-19996000,8806100,-9987100,-1702100,8673400,2627100,1016300,6493200,6904000,5795700,22483000,18694000,639940,8721900,-9302600,-10693000,16886000,-13814000,-3024400,5603000,28877000,20394000,-456510,14387000
-5.45E+06,-1383400,3649600,-4262800,9180200,-7309500,-8892000,30184,-4094900,576810,-14240000,-16745000,654220,1704600,-9891100,-4754700,10356000,2733500,495290,675250,4831800,-507830,-2624300,18689000,-1359000,-17101000,9278100,-17788000,-11253000,15439000,7740900,9341100,12276000,3578900,6532.8,-2534500,-9888400,-6699200,-4081600,8008600,4612400,16641000,-2551800,2207800,6304800,3677400,17593000,10431000,1874800,13655000,-1216200,-9103100,3482300,654720,-14914000,10434000,-7307400,393420,9788300,-4491600,-2376700,8533100,11738000,5926300,23093000,16145000,1828800,13953000,-13522000,-9289700,18215000,-6498100,-4322500,6654500,28083000,15376000,-957410,17525000
-4.38E+06,437200,5029800,-7693400,10306000,-6491100,-7128200,-3045700,-2382000,-5996100,-13444000,-11763000,789380,-2990000,-12572000,-1248900,11155000,2864800,4129200,474080,5607600,1614100,5134100,11236000,-3024800,-14572000,7338300,-20489000,-17922000,11820000,7484800,9629200,14363000,2009300,304860,-7000700,-16675000,-4030900,-3180200,2395900,-1987100,16990000,-5514300,2311700,3080900,-1219600,21658000,9169500,-837460,11113000,648490,-13352000,93243,1319900,-11368000,13332000,-4558200,3007900,9954500,-6718600,-3225400,11366000,17436000,8140600,23484000,14061000,3989700,16379000,-16625000,-4972700,17899000,-879500,-2703300,6982600,24691000,10703000,-1346900,18486000
-3.67E+06,2926700,4774500,-8936500,11104000,-6063700,-8303300,-5406800,104320,-8982500,-11564000,-7958300,2998000,-4154700,-13668000,-327390,11299000,3420800,9105700,990020,8471700,2720800,3092400,4392600,-1340600,-9098000,5711000,-20608000,-20272000,8381200,6631400,7561400,17486000,1159500,83835,-8508300,-21271000,-983380,-747030,-968340,-7006700,14643000,-7271100,3167300,992150,-2429700,25475000,6395000,-1490200,7746000,2153000,-18437000,-2223500,1085500,-9725800,15308000,-2391200,3725900,10610000,-3298700,232130,13546000,19272000,11472000,21548000,11956000,6204100,15080000,-17804000,677150,13850000,506470,-140040,5784200,18818000,8164900,-2382200,16751000
-4.80E+06,3587000,1594700,-8296200,11393000,-7781500,-11653000,-5790200,-656070,-9151100,-7714200,-7274400,9043700,-89730,-10323000,129650,11931000,2406600,12764000,1345800,12417000,2801100,5277200,11134000,-356900,-3445800,3712100,-17852000,-15787000,6552100,5577100,6648500,19147000,146380,1996400,-6923000,-23826000,1231700,3855900,-1977400,-9860600,11122000,-7363300,6137000,2980500,-2208400,26516000,4390100,-433700,4635800,2860800,-21569000,-1255800,-1659600,-7623400,15182000,33428,2691500,11935000,2136900,4077900,13937000,17753000,15460000,15539000,9608900,7648600,12558000,-16516000,6263400,10127000,836820,201290,3383600,12644000,8113500,-3898300,14603000
-6.73E+06,1161000,-2759700,-7298300,11117000,-10110000,-15029000,-4833300,-5978100,-8534800,-2768000,-7790200,13943000,5014300,-5066700,2416500,13017000,364220,13227000,887110,15136000,3043600,8818300,14529000,190060,-1141500,1202400,-14110000,-7093600,6645200,5072500,7206200,16481000,-2345900,5663500,-7141300,-25268000,3241100,8120700,-1427800,-11737000,9629600,-5932300,11429000,7143400,-1285500,24930000,2773800,-702880,1972100,2600300,-20077000,3388100,-4893800,-4512900,14281000,3330400,3725200,12816000,6259200,3717700,12161000,16252000,19155000,7535200,7005800,7838700,11438000,-14250000,10893000,9910300,2238700,-1126600,413100,9962700,9898100,-4659300,13434000
-6.63E+06,-1738000,-4408500,-6505200,9701000,-9193800,-17411000,-4300800,-11372000,-8505400,744810,-7874900,13109000,6006100,-2116100,5655200,13075000,-871940,9853500,374680,15413000,4458600,11175000,13307000,510190,-1998900,-7617100,-10746000,1016600,8182200,6469700,6462500,9729900,-5315200,9042700,-11487000,-24490000,5332800,10046000,-141570,-13404000,11639000,-3808800,16521000,9587100,1658100,22328000,406840,-4643200,659320,2007100,-16048000,9669900,-5443100,-2310300,14794000,5604200,9039600,12413000,8776300,85996,8719400,15305000,20613000,2329400,3699100,6653200,11555000,-13801000,13293000,10675000,2805600,-772440,-2388800,11674000,12549000,-3986300,12735000
-4.66E+06,-2546400,-1745800,-5658600,6246900,-4395800,-18752000,-4811800,-12383000,-10583000,1310400,-8129400,8828700,2467400,-1657200,7838900,11688000,-1301500,3850400,1400200,14175000,5929900,12764000,10144000,1711400,-222920,-4844300,10400000,6525100,9343900,10353000,3775600,2936100,-6587100,10378000,-15445000,-19216000,6770600,10449000,714810,-14734000,15568000,-1529700,18396000,9612900,5921900,18341000,-2242200,-10477000,1473900,1570300,-14180000,14388000,-3121700,-1922800,17417000,4018200,15007000,11260000,10841000,-2332600,3981300,12949000,19028000,2209000,-984660,4308300,11119000,-14764000,12940000,9755500,1154000,2255800,-4456700,13780000,15187000,-2341800,12401000
-3.77E+06,-2678200,3000200,-5030400,1219200,-86486,-18816000,-5933500,-10176000,-16067000,-196330,-8308300,6165600,-2567600,-1379400,8848600,10188000,-2707800,-1531400,4188900,13181000,4945600,14747000,7843600,2031400,3841700,-3528200,13367000,4679100,7983600,15221000,1885700,-488760,-5816100,9298700,-13428000,-10623000,8045500,10274000,282750,-15454000,18452000,932430,17354000,9193300,7907600,12187000,-3592700,-13711000,3091600,1472600,-15271000,15411000,-544130,-2434500,20461000,-1461800,16155000,10703000,12943000,-1951100,-2162500,9222500,15866000,4183100,-6732900,1735700,9637500,-12532000,11731000,10398000,-572440,5615200,-6217000,11878000,16742000,-476970,12820000
-4.01E+06,-4512000,6854800,-4774000,-2958700,-49093,-17387000,-7867600,-8197200,-23152000,-1849300,-6316600,5683800,-7128600,-1531700,9467500,8893600,-5763100,-3532700,6633600,13611000,992860,16119000,5989400,-335540,8191400,-4078900,15038000,3116400,16411000,18018000,2272900,-1459700,-4603600,6911100,-5843600,-3856100,10999000,8135100,-415010,-15320000,18434000,3496200,16836000,9846000,5813900,6265700,-3253600,-11968000,3673700,2289000,-15131000,13503000,457930,-4419900,21016000,-7816000,12226000,11435000,14749000,-1176300,-8849300,6720400,12724000,3837900,-11793000,759650,8237300,-4499400,11891000,17371000,-195060,7617300,-8686500,6252400,15767000,955780,12982000
-1.65E+06,-7225600,8726600,-3863800,-4143500,-2412100,-14929000,-10779000,-6364600,-26869000,-2548900,-1747000,4569800,-10643000,-4126300,8967800,5708600,-8818600,-3211000,6421400,15565000,-3202800,15819000,2476000,-3919700,11001000,-5245200,15671000,5624000,10909000,39716,2546600,-2694200,-4264600,4282400,2175100,-1834300,15347000,2875700,575190,-14284000,15789000,5812800,18840000,12293000,2468600,3833000,-2417100,-7127500,3929300,4058500,-10486000,11565000,294750,-10867000,17547000,-12528000,8162900,12685000,15731000,-2113900,-13515000,7015000,9681200,1119600,-14315000,2638200,7472300,5172100,12303000,28846000,1049700,9157900,-11645000,927530,11602000,1345600,11650000
4.55E+06,-9418300,8742700,-1901500,-2756400,-2597900,-12408000,-12706000,-2460600,-24407000,-2668200,2744000,2983800,-11675000,-8065700,6093600,-560520,-9748700,-4250500,3900000,17627000,-4818900,16314000,-2634000,-5298600,12463000,-5412800,16221000,9650000,4617700,-4414700,-4591200,-4316800,-4952000,975630,6685500,-1483800,17839000,-3217900,2763200,-13024000,12118000,7608800,21014000,16624000,1588700,3965900,-1748600,-2544500,5738500,4856000,-3216500,11252000,-424800,-22689000,11598000,-15555000,7320300,12810000,15683000,-4403400,-14013000,9018400,6744600,110910,-13838000,5944800,6231000,10237000,9987900,37675000,610840,11394000,-13276000,-987350,5864700,835100,10023000
1.00E+07,-14016000,7292900,-1062000,-645220,517020,-10774000,-10857000,2797600,-19082000,-3400300,4969800,4299500,-9061600,-9614500,1952000,-6879400,-7965100,-7851800,1799300,17143000,-3788600,21173000,-6559300,-3554500,14243000,-4050600,16400000,10726000,473510,-8167300,-3709000,-7705600,-6351900,-3513500,6849000,1056200,16851000,-6610100,2903700,-12301000,9004100,8581000,19412000,20848000,3310900,3385700,-405730,392020,8222800,2696800,2370000,11029000,-2449700,-35307000,6333500,-17585000,7701200,10727000,15183000,-6866200,-10881000,10622000,4977100,2995300,-10958000,7375200,3355000,10097000,5402300,40159000,-1698100,13922000,-12270000,640250,1596400,647650,9940800
-1.00E+07,6710400,5224900,-3488800,1865900,4343100,-10452000,-5547000,6125900,-16585000,-5268400,5475500,9050300,-4825200,-8181700,-360110,-8901100,-4693700,-11129000,1937500,12524000,-1190200,29176000,-7194100,-1513000,17171000,-1888500,14749000,7982000,-1160200,-10402000,-3779600,-7485500,-7756800,-7339900,3082000,4410600,15386000,-7060500,-287140,-11384000,7388200,8488500,13216000,21985000,5357700,2614400,1988900,2248500,8545700,-946770,4401200,8704800,-6347900,-42390000,3370700,-18338000,5605700,6969300,15222000,-8544500,-6280800,10258000,4876700,6844900,-6214900,5844200,-454930,9481400,2818900,39297000,-3857800,15521000,-9241800,4302300,221860,1604000,10005000
-5.79E+06,12498000,-11493000,-7526300,6482900,7247000,-10563000,-563910,6102100,-18287000,-7080700,5262600,13024000,-2637200,-7658000,631210,-7098000,-2168100,-11600000,3187300,5362300,3421900,34745000,-5496500,-1819100,19990000,-670380,11076000,4431400,-1882300,-12008000,-5433700,-4517100,-4969000,-8251600,-3122500,5053600,17042000,-7355800,-3003200,-8625500,7550500,7967100,5601000,20296000,6625400,5171000,3905600,3458900,6672800,-2242200,4092400,5172200,-10331000,-42405000,1855200,-17322000,536900,3330600,15878000,-8361600,-1338800,7546200,5392900,7797800,-274120,4464200,-3268200,11528000,4531400,39085000,-4373000,14789000,-5552800,8062100,238500,3015800,7363700
-2.23E+06,13594000,-11030000,6227800,16029000,10093000,-9037900,960840,3825400,-20818000,-6972600,4032900,12712000,-3035700,-10659000,3331500,-6835600,-2186500,-10665000,3205100,-964440,10617000,34935000,-3730900,-3395300,20612000,-2379800,7143600,2254600,-3002200,-13014000,-7096100,375280,-1770500,-8906200,5345300,4035200,20863000,-9079100,-599240,-4292900,8984200,8260200,343950,19353000,7154900,10564000,4034000,3751400,5828600,-197620,2971700,4047500,-11035000,-39248000,410990,-14803000,-4857000,1202200,15998000,-6051200,3977100,3844700,5816000,6241300,5305000,6816500,-4386900,14583000,8107900,39380000,-3441400,10443000,-1813100,9707000,-336940,4239800,3039600
-1.52E+06,10865000,-9605100,5395000,-125340,13435000,-4542200,-1076800,-16205,-21545000,-4745000,1965300,9524400,-2974500,-14710000,5834800,-11132000,-4340300,-10784000,1319000,-4625700,17882000,32231000,-2421800,-3332100,18457000,-7100900,4359800,375390,-4902000,-12464000,-7609100,4617600,837840,-5305700,8263000,21702000,22901000,-11338000,5905600,-1014400,10582000,9182600,-1453700,20292000,6053700,13703000,3809500,3381600,7548500,2145300,1451000,7600100,-6909300,-36594000,-1219900,-11396000,-8234600,171010,14476000,-3152500,8886700,1295000,6731400,5468300,8916600,12341000,-5219600,15466000,10708000,37680000,-1808200,3259500,2041100,7755100,-1184700,6129100,992850
-2.10E+06,8171600,-6631800,6163200,-4439500,-14858000,15215000,-5931100,-5282600,-21226000,-2403200,659260,6989900,-798120,-16042000,8291700,-16154000,-5988800,-11427000,-1153800,-6023900,20772000,29125000,-218190,-1316400,15236000,-11563000,2292600,-2670500,-7974300,-10575000,-7340100,5948400,4303500,-701810,7069900,19589000,-15165000,-13351000,10546000,-286560,11712000,8591700,-1436600,19769000,2350900,12695000,5856800,3633500,9650300,2661900,128000,14162000,-325260,-33977000,-2499400,-7821100,-9655100,-1398400,10901000,-1271500,11667000,254680,7782700,6495800,10568000,17330000,-7088500,12893000,12606000,33211000,579280,-2584000,6271900,3307400,-595410,9124800,1635600
-2.09E+06,6607500,-4289900,9885300,-6387000,-15994000,11838000,6791100,13434000,-20865000,-2050300,749650,6188600,1096800,-14579000,11281000,-16193000,-5097100,-10277000,-2924200,-5781800,17962000,23998000,3660900,-27456,13082000,-11519000,204950,-5570700,-12476000,-9077700,-6595100,4107600,8098300,2758500,-257820,18964000,-15426000,5761600,9712600,-316030,12904000,5350500,-1594600,15861000,-2601900,11988000,10437000,5523500,10277000,2959500,921730,19675000,4310500,-29005000,-2831900,-5156600,-10897000,-4241400,4942200,-105920,11758000,-898640,6809900,7113400,11536000,19498000,-8910500,7621300,14533000,27343000,4368400,-2782100,11002000,103620,1427700,11240000,1261500
-1.27E+06,4396400,-3260400,12743000,-6489300,-16438000,12507000,11141000,15975000,-19285000,-3942000,696050,5730800,87283,-12804000,13484000,-11038000,-2570300,-7043000,-3915500,-4205400,13158000,15136000,8039100,-1014500,12023000,-6194200,-1312200,-5430900,-17314000,-9079000,-4813900,833380,8620500,5780300,-8024000,19616000,-11737000,2465300,3967600,1204800,14653000,1657600,-2062800,11861000,-6025400,15237000,15424000,8355800,10737000,4370000,5650800,21189000,4579800,-21305000,-1810900,-3867900,-13388000,-7108800,-3057000,1033500,10386000,-2573400,3140300,5900000,12381000,19168000,-8339800,1537500,15026000,21332000,9108100,2151700,15045000,1471300,2684500,10591000,-924000
-7.12E+05,1943000,-1437200,11544000,-4331800,-15895000,12616000,12862000,15005000,-15618000,-6703400,-554330,4496300,-2459400,-11529000,13129000,-5477600,-414010,-3660600,-4370200,-2772000,10813000,5643000,11031000,-2274100,10017000,854680,-1331900,-1335400,-20439000,-9832800,-1478100,-1672100,4581700,9533500,-10101000,19832000,-4731800,-7681.5,6585400,15038000,15930000,571120,-1287100,10790000,-6839500,19482000,19506000,9980500,12555000,4357400,13488000,19104000,1834700,-12896000,358580,-2630700,-16425000,-8176900,-10400000,1038200,8592900,-2969400,-517610,4471900,12449000,16600000,-5171900,-3302600,13218000,15313000,12283000,7370000,15576000,6702200,1794000,8975200,-551030
