Signal1,Signal2,Signal3,Signal4,Signal5,Signal6,Signal7,Signal8,Signal9,Signal10,Signal11,Signal12,Signal13,Signal14,Signal15,Signal16,Signal17,Signal18,Signal19,Signal20,Signal21,Signal22,Signal23,Signal24,Signal25,Signal26,Signal27,Signal28,Signal29,Signal30,Signal31,Signal32,Signal33,Signal34,Signal35,Signal36,Signal37,Signal38,Signal39,Signal40,Signal41,Signal42,Signal43,Signal44,Signal45,Signal46,Signal47,Signal48,Signal49,Signal50,Signal51,Signal52,Signal53,Signal54,Signal55,Signal56,Signal57,Signal58,Signal59,Signal60,Signal61,Signal62,Signal63,Signal64,Signal65,Signal66,Signal67,Signal68,Signal69,Signal70,Signal71,Signal72,Signal73,Signal74,Signal75,Signal76,Signal77,Signal78
-3.35E+07,-18709000,-11980000,-33085000,-51660000,-48959000,-60643000,-28175000,-37875000,-28880000,-56935000,-76266000,-49670000,-31827000,-40425000,-39060000,-32921000,-35399000,-25298000,-24359000,-5001800,-22963000,16239,-2939000,-53391000,-44270000,-35015000,-11683000,-22907000,-14913000,-37347000,-25303000,1913100,-20422000,-9055800,-2697900,-7230900,-9977000,-19905000,-12528000,799830,7913600,929980,26549000,-29824000,-2740000,-30224000,-20948000,-10906000,4812600,-27003000,-27155000,-8805800,-6357500,-680830,-28634000,-29804000,-31071000,-28511000,-19299000,-30305000,-29289000,-22082000,-18813000,-6481400,-11277000,-38074000,-37427000,-10649000,-31386000,-18312000,-22738000,-27745000,-39306000,-25564000,-27273000,-31244000,-32214000
-2.67E+07,-17588000,-9259700,-40534000,-45024000,-43943000,-60102000,-32400000,-34519000,-26369000,-59702000,-84089000,-47431000,-32621000,-41310000,-40333000,-36639000,-35518000,-27796000,-24316000,-4864600,-31712000,-2293700,-4753900,-53369000,-45603000,-33747000,-18316000,-25868000,-14762000,-36031000,-30996000,3080000,-17479000,-11732000,-5756900,-7749200,-6203600,-26606000,-8386900,-7108800,10247000,5835200,21841000,-26843000,1976100,-27183000,-28020000,-10179000,5525200,-28005000,-25581000,-5608000,-4730700,6397700,-28749000,-36483000,-19196000,-23840000,-14428000,-27806000,-21396000,-19315000,-20835000,-3741800,-15094000,-38703000,-41339000,-8406600,-28178000,-25409000,-12138000,-27802000,-34814000,-28616000,-26493000,-31162000,-25318000
-1.89E+07,-16010000,-4021800,-47623000,-40046000,-38766000,-57350000,-34184000,-32342000,-25105000,-63692000,-88325000,-45624000,-37304000,-42190000,-43630000,-43569000,-30794000,-26629000,-26838000,-6669600,-41792000,-7415800,-6821700,-49962000,-43898000,-30173000,-20742000,-30723000,-14115000,-34045000,-35908000,1049500,-13219000,-17777000,-11577000,-10631000,-648830,-34540000,-8416300,-12854000,11755000,13851000,13368000,-25146000,4913000,-27060000,-32096000,-12252000,1147800,-28487000,-27844000,-3581900,-4529600,12433000,-26454000,-36254000,-6158400,-17993000,-11409000,-18724000,-11784000,-17304000,-23278000,-4485100,-19362000,-38925000,-44973000,-7482200,-25694000,-33623000,-7459400,-29242000,-28501000,-31230000,-27316000,-30070000,-19182000
-1.28E+07,-15620000,2101800,-50394000,-35814000,-37943000,-57556000,-34423000,-33162000,-29193000,-66302000,-87066000,-46835000,-40847000,-41423000,-47312000,-53006000,-25963000,-24853000,-32533000,-9866100,-47655000,-16601000,-12147000,-47428000,-36233000,-27442000,-19940000,-33395000,-14119000,-27593000,-39737000,-3421100,-11235000,-22447000,-15030000,-11289000,3005700,-39796000,-14073000,-11450000,8371000,21321000,8120800,-22864000,4730600,-29633000,-33310000,-16414000,-6122300,-28061000,-27878000,-3852500,-3712400,13280000,-23519000,-30072000,3968600,-12780000,-10060000,-8183500,-3605100,-16325000,-27368000,-8800500,-25298000,-38197000,-48912000,-6385400,-24994000,-40032000,-12841000,-32644000,-23563000,-33381000,-29822000,-29266000,-11207000
-1.13E+07,-18462000,4178900,-46607000,-32366000,-40953000,-62221000,-36068000,-37683000,-38438000,-65514000,-80628000,-51208000,-40432000,-39867000,-47904000,-60618000,-27112000,-26005000,-37466000,-12924000,-47498000,-25732000,-21679000,-47704000,-28792000,-29116000,-17870000,-31190000,-15207000,-15140000,-41076000,-8176400,-14631000,-22951000,-12283000,-7451400,2526000,-42554000,-20464000,-5139100,-1170500,23724000,8703100,-17521000,411130,-31365000,-36556000,-20763000,-11550000,-28491000,-25354000,-7928300,-34406,8678600,-22692000,-21383000,11278000,-8625300,-5857800,-1512600,983.82,-15179000,-33480000,-15109000,-31214000,-36405000,-52035000,-5581500,-25969000,-43672000,-24346000,-36375000,-21990000,-34111000,-31566000,-29384000,-1317200
-1.20E+07,-24015000,356770,-38894000,-31707000,-42658000,-66555000,-41731000,-43649000,-48056000,-62372000,-70874000,-56055000,-38792000,-40762000,-44700000,-62457000,-34484000,-28644000,-36322000,-14153000,-45371000,-30466000,-30699000,-48804000,-28929000,-32888000,-14676000,-26767000,-16539000,-2431600,-40064000,-12878000,-22534000,-20892000,-6178500,-2658300,100430,-43820000,-20742000,554720,-11206000,20448000,11997000,-11533000,-6833000,-30422000,-42134000,-24838000,-11944000,-30686000,-25282000,-13390000,4536600,2369400,-22363000,-12270000,17810000,-4928300,3343900,1746700,-434060,-13664000,-39592000,-21777000,-34002000,-33917000,-50243000,-7486000,-28275000,-44378000,-33340000,-38034000,-22825000,-34119000,-30623000,-30925000,5504000
-1.03E+07,-28990000,-6696100,-31812000,-34425000,-40578000,-66609000,-51446000,-47888000,-55537000,-60265000,-61302000,-59574000,-39128000,-44402000,-39993000,-58973000,-41495000,-29724000,-27935000,-13905000,-46206000,-31628000,-33208000,-47401000,-34587000,-32617000,-10805000,-23294000,-17161000,3267500,-38780000,-18645000,-30012000,-18518000,-3809100,-2405300,271760,-41158000,-15148000,2767000,-15578000,13304000,13723000,-9578600,-13963000,-30258000,-45090000,-30633000,-7522700,-31794000,-28891000,-14799000,6998900,-1900300,-18946000,-3892200,23949000,-177830,12938000,5361200,-2329600,-13328000,-43050000,-28788000,-33686000,-32587000,-42605000,-13264000,-30633000,-41559000,-34660000,-37585000,-23886000,-34881000,-28764000,-34001000,4329500
-6.32E+06,-30517000,-14519000,-27617000,-36773000,-37201000,-63914000,-62703000,-50074000,-62868000,-62189000,-56043000,-61828000,-40083000,-46789000,-35163000,-53184000,-42333000,-30202000,-16889000,-14369000,-50529000,-33344000,-29104000,-42011000,-38523000,-27473000,-8302300,-20396000,-16386000,1685900,-37686000,-25847000,-32764000,-15947000,-9121000,-7801000,4181200,-32806000,-10845000,1751000,-15401000,3573100,12398000,-11426000,-18838000,-35519000,-43542000,-39461000,-402080,-29095000,-30997000,-10503000,8533800,-3925000,-14017000,2429900,27316000,7355700,17717000,10388000,-4577500,-15103000,-43439000,-36237000,-32042000,-34338000,-34695000,-20670000,-30821000,-35903000,-30648000,-37137000,-24356000,-35703000,-29919000,-36567000,-2969000
-4.86E+06,-28691000,-22601000,-25491000,-34422000,-34992000,-60794000,-72088000,-53197000,-70689000,-68354000,-56102000,-61558000,-38694000,-45039000,-30264000,-46264000,-38679000,-32768000,-9455000,-17673000,-54935000,-37114000,-23606000,-34564000,-39567000,-23735000,-7835600,-17972000,-13025000,-1607300,-34862000,-33389000,-30978000,-13008000,-18864000,-14720000,7287100,-23520000,-12143000,-1524900,-16286000,-6980100,9036300,-11425000,-21692000,-45197000,-41516000,-48997000,7015900,-25785000,-27878000,-4726200,11991000,-5796900,-12773000,6519100,24668000,17274000,18934000,14662000,-7662900,-17382000,-42521000,-41888000,-28001000,-37948000,-31637000,-26717000,-27833000,-30363000,-27018000,-37227000,-24884000,-34935000,-34897000,-34881000,-9248200
-7.86E+06,-25439000,-28930000,-23181000,-28271000,-33355000,-56094000,-77007000,-59469000,-75731000,-75496000,-57620000,-56379000,-35709000,-40999000,-27490000,-38204000,-36930000,-35934000,-8515000,-24570000,-56369000,-40350000,-19886000,-29072000,-42040000,-25806000,-6826300,-19101000,-6558400,-3132600,-30194000,-39773000,-27867000,-10695000,-25581000,-18809000,4901600,-20671000,-15700000,-5587000,-19909000,-15272000,5171400,-5861500,-24051000,-52647000,-42323000,-55272000,12123000,-28255000,-22542000,-909760,16110000,-7867300,-15236000,9786800,15011000,25497000,20579000,16273000,-11596000,-17314000,-40993000,-42836000,-19278000,-39815000,-31569000,-31518000,-23315000,-27019000,-26341000,-35319000,-25951000,-33808000,-39287000,-27499000,-10713000
